Date,City,Temperature
2024-01-01,Nagpur,2.6
2024-01-02,Nagpur,20.38
2024-01-03,Nagpur,-6.64
2024-01-04,Nagpur,25.82
2024-01-05,Nagpur,26.37
2024-01-06,Nagpur,27.12
2024-01-07,Nagpur,11.5
2024-01-08,Nagpur,14.39
2024-01-09,Nagpur,17.5
2024-01-10,Nagpur,10.21
2024-01-11,Nagpur,-6.54
2024-01-12,Nagpur,25.25
2024-01-13,Nagpur,3.71
2024-01-14,Nagpur,-0.87
2024-01-15,Nagpur,26.08
2024-01-16,Nagpur,24.37
2024-01-17,Nagpur,15.18
2024-01-18,Nagpur,20.9
2024-01-19,Nagpur,5.66
2024-01-20,Nagpur,25.3
2024-01-21,Nagpur,12.39
2024-01-22,Nagpur,23.84
2024-01-23,Nagpur,14.99
2024-01-24,Nagpur,25.86
2024-01-25,Nagpur,8.6
2024-01-26,Nagpur,1.17
2024-01-27,Nagpur,25.57
2024-01-28,Nagpur,-5.92
2024-01-29,Nagpur,3.74
2024-01-30,Nagpur,27.39
2024-01-31,Nagpur,-8.42
2024-02-01,Nagpur,17.83
2024-02-02,Nagpur,6.49
2024-02-03,Nagpur,1.78
2024-02-04,Nagpur,-7.05
2024-02-05,Nagpur,4.96
2024-02-06,Nagpur,6.93
2024-02-07,Nagpur,28.26
2024-02-08,Nagpur,11.07
2024-02-09,Nagpur,24.83
2024-02-10,Nagpur,2.25
2024-02-11,Nagpur,-1.61
2024-02-12,Nagpur,-0.82
2024-02-13,Nagpur,5.41
2024-02-14,Nagpur,21.16
2024-02-15,Nagpur,-2.94
2024-02-16,Nagpur,27.05
2024-02-17,Nagpur,-9.18
2024-02-18,Nagpur,-2.32
2024-02-19,Nagpur,9.32
2024-02-20,Nagpur,27.43
2024-02-21,Nagpur,0.43
2024-02-22,Nagpur,17.22
2024-02-23,Nagpur,27.89
2024-02-24,Nagpur,20.77
2024-02-25,Nagpur,18.37
2024-02-26,Nagpur,11.5
2024-02-27,Nagpur,16.81
2024-02-28,Nagpur,-1.52
2024-02-29,Nagpur,-1.92
2024-03-01,Nagpur,-1.14
2024-03-02,Nagpur,10.21
2024-03-03,Nagpur,18.94
2024-03-04,Nagpur,10.12
2024-03-05,Nagpur,25.11
2024-03-06,Nagpur,5.12
2024-03-07,Nagpur,8.02
2024-03-08,Nagpur,-5.77
2024-03-09,Nagpur,10.87
2024-03-10,Nagpur,24.42
2024-03-11,Nagpur,5.95
2024-03-12,Nagpur,-7.88
2024-03-13,Nagpur,6.13
2024-03-14,Nagpur,25.87
2024-03-15,Nagpur,16.27
2024-03-16,Nagpur,-3.55
2024-03-17,Nagpur,-2.63
2024-03-18,Nagpur,1.43
2024-03-19,Nagpur,8.56
2024-03-20,Nagpur,15.96
2024-03-21,Nagpur,0.2
2024-03-22,Nagpur,-8.4
2024-03-23,Nagpur,18.98
2024-03-24,Nagpur,10.08
2024-03-25,Nagpur,21.24
2024-03-26,Nagpur,28.14
2024-03-27,Nagpur,13.67
2024-03-28,Nagpur,-2.46
2024-03-29,Nagpur,-0.16
2024-03-30,Nagpur,18.77
2024-03-31,Nagpur,-6.71
2024-04-01,Nagpur,-9.13
2024-04-02,Nagpur,29.0
2024-04-03,Nagpur,18.92
2024-04-04,Nagpur,13.83
2024-04-05,Nagpur,13.83
2024-04-06,Nagpur,26.78
2024-04-07,Nagpur,7.29
2024-04-08,Nagpur,29.73
2024-04-09,Nagpur,0.98
2024-01-01,Mumbai,9.6
2024-01-02,Mumbai,27.38
2024-01-03,Mumbai,0.36
2024-01-04,Mumbai,32.82
2024-01-05,Mumbai,33.37
2024-01-06,Mumbai,34.12
2024-01-07,Mumbai,18.5
2024-01-08,Mumbai,21.39
2024-01-09,Mumbai,24.5
2024-01-10,Mumbai,17.21
2024-01-11,Mumbai,0.46
2024-01-12,Mumbai,32.25
2024-01-13,Mumbai,10.71
2024-01-14,Mumbai,6.13
2024-01-15,Mumbai,33.08
2024-01-16,Mumbai,31.37
2024-01-17,Mumbai,22.18
2024-01-18,Mumbai,27.9
2024-01-19,Mumbai,12.66
2024-01-20,Mumbai,32.3
2024-01-21,Mumbai,19.39
2024-01-22,Mumbai,30.84
2024-01-23,Mumbai,21.99
2024-01-24,Mumbai,32.86
2024-01-25,Mumbai,15.6
2024-01-26,Mumbai,8.17
2024-01-27,Mumbai,32.57
2024-01-28,Mumbai,1.08
2024-01-29,Mumbai,10.74
2024-01-30,Mumbai,34.39
2024-01-31,Mumbai,-1.42
2024-02-01,Mumbai,24.83
2024-02-02,Mumbai,13.49
2024-02-03,Mumbai,8.78
2024-02-04,Mumbai,-0.05
2024-02-05,Mumbai,11.96
2024-02-06,Mumbai,13.93
2024-02-07,Mumbai,35.26
2024-02-08,Mumbai,18.07
2024-02-09,Mumbai,31.83
2024-02-10,Mumbai,9.25
2024-02-11,Mumbai,5.39
2024-02-12,Mumbai,6.18
2024-02-13,Mumbai,12.41
2024-02-14,Mumbai,28.16
2024-02-15,Mumbai,4.06
2024-02-16,Mumbai,34.05
2024-02-17,Mumbai,-2.18
2024-02-18,Mumbai,4.68
2024-02-19,Mumbai,16.32
2024-02-20,Mumbai,34.43
2024-02-21,Mumbai,7.43
2024-02-22,Mumbai,24.22
2024-02-23,Mumbai,34.89
2024-02-24,Mumbai,27.77
2024-02-25,Mumbai,25.37
2024-02-26,Mumbai,18.5
2024-02-27,Mumbai,23.81
2024-02-28,Mumbai,5.48
2024-02-29,Mumbai,5.08
2024-03-01,Mumbai,5.86
2024-03-02,Mumbai,17.21
2024-03-03,Mumbai,25.94
2024-03-04,Mumbai,17.12
2024-03-05,Mumbai,32.11
2024-03-06,Mumbai,12.12
2024-03-07,Mumbai,15.02
2024-03-08,Mumbai,1.23
2024-03-09,Mumbai,17.87
2024-03-10,Mumbai,31.42
2024-03-11,Mumbai,12.95
2024-03-12,Mumbai,-0.88
2024-03-13,Mumbai,13.13
2024-03-14,Mumbai,32.87
2024-03-15,Mumbai,23.27
2024-03-16,Mumbai,3.45
2024-03-17,Mumbai,4.37
2024-03-18,Mumbai,8.43
2024-03-19,Mumbai,15.56
2024-03-20,Mumbai,22.96
2024-03-21,Mumbai,7.2
2024-03-22,Mumbai,-1.4
2024-03-23,Mumbai,25.98
2024-03-24,Mumbai,17.08
2024-03-25,Mumbai,28.24
2024-03-26,Mumbai,35.14
2024-03-27,Mumbai,20.67
2024-03-28,Mumbai,4.54
2024-03-29,Mumbai,6.84
2024-03-30,Mumbai,25.77
2024-03-31,Mumbai,0.29
2024-04-01,Mumbai,-2.13
2024-04-02,Mumbai,36.0
2024-04-03,Mumbai,25.92
2024-04-04,Mumbai,20.83
2024-04-05,Mumbai,20.83
2024-04-06,Mumbai,33.78
2024-04-07,Mumbai,14.29
2024-04-08,Mumbai,36.73
2024-04-09,Mumbai,7.98
2024-01-01,Delhi,0.1
2024-01-02,Delhi,17.88
2024-01-03,Delhi,-9.14
2024-01-04,Delhi,23.32
2024-01-05,Delhi,23.87
2024-01-06,Delhi,24.62
2024-01-07,Delhi,9.0
2024-01-08,Delhi,11.89
2024-01-09,Delhi,15.0
2024-01-10,Delhi,7.71
2024-01-11,Delhi,-9.04
2024-01-12,Delhi,22.75
2024-01-13,Delhi,1.21
2024-01-14,Delhi,-3.37
2024-01-15,Delhi,23.58
2024-01-16,Delhi,21.87
2024-01-17,Delhi,12.68
2024-01-18,Delhi,18.4
2024-01-19,Delhi,3.16
2024-01-20,Delhi,22.8
2024-01-21,Delhi,9.89
2024-01-22,Delhi,21.34
2024-01-23,Delhi,12.49
2024-01-24,Delhi,23.36
2024-01-25,Delhi,6.1
2024-01-26,Delhi,-1.33
2024-01-27,Delhi,23.07
2024-01-28,Delhi,-8.42
2024-01-29,Delhi,1.24
2024-01-30,Delhi,24.89
2024-01-31,Delhi,-10.92
2024-02-01,Delhi,15.33
2024-02-02,Delhi,3.99
2024-02-03,Delhi,-0.72
2024-02-04,Delhi,-9.55
2024-02-05,Delhi,2.46
2024-02-06,Delhi,4.43
2024-02-07,Delhi,25.76
2024-02-08,Delhi,8.57
2024-02-09,Delhi,22.33
2024-02-10,Delhi,-0.25
2024-02-11,Delhi,-4.11
2024-02-12,Delhi,-3.32
2024-02-13,Delhi,2.91
2024-02-14,Delhi,18.66
2024-02-15,Delhi,-5.44
2024-02-16,Delhi,24.55
2024-02-17,Delhi,-11.68
2024-02-18,Delhi,-4.82
2024-02-19,Delhi,6.82
2024-02-20,Delhi,24.93
2024-02-21,Delhi,-2.07
2024-02-22,Delhi,14.72
2024-02-23,Delhi,25.39
2024-02-24,Delhi,18.27
2024-02-25,Delhi,15.87
2024-02-26,Delhi,9.0
2024-02-27,Delhi,14.31
2024-02-28,Delhi,-4.02
2024-02-29,Delhi,-4.42
2024-03-01,Delhi,-3.64
2024-03-02,Delhi,7.71
2024-03-03,Delhi,16.44
2024-03-04,Delhi,7.62
2024-03-05,Delhi,22.61
2024-03-06,Delhi,2.62
2024-03-07,Delhi,5.52
2024-03-08,Delhi,-8.27
2024-03-09,Delhi,8.37
2024-03-10,Delhi,21.92
2024-03-11,Delhi,3.45
2024-03-12,Delhi,-10.38
2024-03-13,Delhi,3.63
2024-03-14,Delhi,23.37
2024-03-15,Delhi,13.77
2024-03-16,Delhi,-6.05
2024-03-17,Delhi,-5.13
2024-03-18,Delhi,-1.07
2024-03-19,Delhi,6.06
2024-03-20,Delhi,13.46
2024-03-21,Delhi,-2.3
2024-03-22,Delhi,-10.9
2024-03-23,Delhi,16.48
2024-03-24,Delhi,7.58
2024-03-25,Delhi,18.74
2024-03-26,Delhi,25.64
2024-03-27,Delhi,11.17
2024-03-28,Delhi,-4.96
2024-03-29,Delhi,-2.66
2024-03-30,Delhi,16.27
2024-03-31,Delhi,-9.21
2024-04-01,Delhi,-11.63
2024-04-02,Delhi,26.5
2024-04-03,Delhi,16.42
2024-04-04,Delhi,11.33
2024-04-05,Delhi,11.33
2024-04-06,Delhi,24.28
2024-04-07,Delhi,4.79
2024-04-08,Delhi,27.23
2024-04-09,Delhi,-1.52
2024-01-01,Bengaluru,6.6
2024-01-02,Bengaluru,24.38
2024-01-03,Bengaluru,-2.64
2024-01-04,Bengaluru,29.82
2024-01-05,Bengaluru,30.37
2024-01-06,Bengaluru,31.12
2024-01-07,Bengaluru,15.5
2024-01-08,Bengaluru,18.39
2024-01-09,Bengaluru,21.5
2024-01-10,Bengaluru,14.21
2024-01-11,Bengaluru,-2.54
2024-01-12,Bengaluru,29.25
2024-01-13,Bengaluru,7.71
2024-01-14,Bengaluru,3.13
2024-01-15,Bengaluru,30.08
2024-01-16,Bengaluru,28.37
2024-01-17,Bengaluru,19.18
2024-01-18,Bengaluru,24.9
2024-01-19,Bengaluru,9.66
2024-01-20,Bengaluru,29.3
2024-01-21,Bengaluru,16.39
2024-01-22,Bengaluru,27.84
2024-01-23,Bengaluru,18.99
2024-01-24,Bengaluru,29.86
2024-01-25,Bengaluru,12.6
2024-01-26,Bengaluru,5.17
2024-01-27,Bengaluru,29.57
2024-01-28,Bengaluru,-1.92
2024-01-29,Bengaluru,7.74
2024-01-30,Bengaluru,31.39
2024-01-31,Bengaluru,-4.42
2024-02-01,Bengaluru,21.83
2024-02-02,Bengaluru,10.49
2024-02-03,Bengaluru,5.78
2024-02-04,Bengaluru,-3.05
2024-02-05,Bengaluru,8.96
2024-02-06,Bengaluru,10.93
2024-02-07,Bengaluru,32.26
2024-02-08,Bengaluru,15.07
2024-02-09,Bengaluru,28.83
2024-02-10,Bengaluru,6.25
2024-02-11,Bengaluru,2.39
2024-02-12,Bengaluru,3.18
2024-02-13,Bengaluru,9.41
2024-02-14,Bengaluru,25.16
2024-02-15,Bengaluru,1.06
2024-02-16,Bengaluru,31.05
2024-02-17,Bengaluru,-5.18
2024-02-18,Bengaluru,1.68
2024-02-19,Bengaluru,13.32
2024-02-20,Bengaluru,31.43
2024-02-21,Bengaluru,4.43
2024-02-22,Bengaluru,21.22
2024-02-23,Bengaluru,31.89
2024-02-24,Bengaluru,24.77
2024-02-25,Bengaluru,22.37
2024-02-26,Bengaluru,15.5
2024-02-27,Bengaluru,20.81
2024-02-28,Bengaluru,2.48
2024-02-29,Bengaluru,2.08
2024-03-01,Bengaluru,2.86
2024-03-02,Bengaluru,14.21
2024-03-03,Bengaluru,22.94
2024-03-04,Bengaluru,14.12
2024-03-05,Bengaluru,29.11
2024-03-06,Bengaluru,9.12
2024-03-07,Bengaluru,12.02
2024-03-08,Bengaluru,-1.77
2024-03-09,Bengaluru,14.87
2024-03-10,Bengaluru,28.42
2024-03-11,Bengaluru,9.95
2024-03-12,Bengaluru,-3.88
2024-03-13,Bengaluru,10.13
2024-03-14,Bengaluru,29.87
2024-03-15,Bengaluru,20.27
2024-03-16,Bengaluru,0.45
2024-03-17,Bengaluru,1.37
2024-03-18,Bengaluru,5.43
2024-03-19,Bengaluru,12.56
2024-03-20,Bengaluru,19.96
2024-03-21,Bengaluru,4.2
2024-03-22,Bengaluru,-4.4
2024-03-23,Bengaluru,22.98
2024-03-24,Bengaluru,14.08
2024-03-25,Bengaluru,25.24
2024-03-26,Bengaluru,32.14
2024-03-27,Bengaluru,17.67
2024-03-28,Bengaluru,1.54
2024-03-29,Bengaluru,3.84
2024-03-30,Bengaluru,22.77
2024-03-31,Bengaluru,-2.71
2024-04-01,Bengaluru,-5.13
2024-04-02,Bengaluru,33.0
2024-04-03,Bengaluru,22.92
2024-04-04,Bengaluru,17.83
2024-04-05,Bengaluru,17.83
2024-04-06,Bengaluru,30.78
2024-04-07,Bengaluru,11.29
2024-04-08,Bengaluru,33.73
2024-04-09,Bengaluru,4.98
2024-01-01,Pune,4.1
2024-01-02,Pune,21.88
2024-01-03,Pune,-5.14
2024-01-04,Pune,27.32
2024-01-05,Pune,27.87
2024-01-06,Pune,28.62
